id,name,supertype,competitive_score,score_category
base1-56,Onix,Pokémon,0.29888781905174255,C-Tier
base1-57,Pidgey,Pokémon,0.1294628381729126,D-Tier
base1-58,Pikachu,Pokémon,0.13147833943367004,D-Tier
base1-59,Poliwag,Pokémon,0.12961402535438538,D-Tier
base1-6,Gyarados,Pokémon,0.2989175617694855,C-Tier
base1-60,Ponyta,Pokémon,0.1323024034500122,D-Tier
base1-61,Rattata,Pokémon,0.09946496039628983,D-Tier
base1-62,Sandshrew,Pokémon,0.12858794629573822,D-Tier
base1-63,Squirtle,Pokémon,0.12961402535438538,D-Tier
base1-64,Starmie,Pokémon,0.19960083067417145,D-Tier
base1-65,Staryu,Pokémon,0.12961402535438538,D-Tier
base1-66,Tangela,Pokémon,0.16603584587574005,D-Tier
base1-67,Voltorb,Pokémon,0.13147833943367004,D-Tier
base1-68,Vulpix,Pokémon,0.16511760652065277,D-Tier
base1-69,Weedle,Pokémon,0.13022442162036896,D-Tier
base1-7,Hitmonchan,Pokémon,0.23391856253147125,C-Tier
base1-70,Clefairy Doll,Trainer,0.006359850987792015,D-Tier
base1-71,Computer Search,Trainer,0.00026014031027443707,D-Tier
base1-72,Devolution Spray,Trainer,0.00026014031027443707,D-Tier
base1-73,Impostor Professor Oak,Trainer,0.00026014031027443707,D-Tier
base1-74,Item Finder,Trainer,0.00026014031027443707,D-Tier
base1-75,Lass,Trainer,0.00026014031027443707,D-Tier
base1-76,Pokémon Breeder,Trainer,0.00026014031027443707,D-Tier
base1-77,Pokémon Trader,Trainer,0.00026014031027443707,D-Tier
base1-78,Scoop Up,Trainer,0.00026014031027443707,D-Tier
base1-79,Super Energy Removal,Trainer,0.00026014031027443707,D-Tier
base1-80,Defender,Trainer,0.00026014031027443707,D-Tier
base1-81,Energy Retrieval,Trainer,0.00026014031027443707,D-Tier
base1-82,Full Heal,Trainer,0.00026014031027443707,D-Tier
base1-83,Maintenance,Trainer,0.00026014031027443707,D-Tier
base1-84,PlusPower,Trainer,0.00026014031027443707,D-Tier
base1-85,Pokémon Center,Trainer,0.00026014031027443707,D-Tier
base1-86,Pokémon Flute,Trainer,0.00026014031027443707,D-Tier
base1-87,Pokédex,Trainer,0.00026014031027443707,D-Tier
base1-88,Professor Oak,Trainer,0.00026014031027443707,D-Tier
base1-89,Revive,Trainer,0.00026014031027443707,D-Tier
base1-9,Magneton,Pokémon,0.20295287668704987,C-Tier
base1-90,Super Potion,Trainer,0.00026014031027443707,D-Tier
base1-91,Bill,Trainer,0.00026014031027443707,D-Tier
base1-92,Energy Removal,Trainer,0.00026014031027443707,D-Tier
base1-93,Gust of Wind,Trainer,0.00026014031027443707,D-Tier
base1-94,Potion,Trainer,0.00026014031027443707,D-Tier
base1-95,Switch,Trainer,0.00026014031027443707,D-Tier
base1-96,Double Colorless Energy,Energy,3.3326180966871018e-15,D-Tier
base1-97,Fighting Energy,Energy,2.8594962769162846e-12,D-Tier
base1-98,Fire Energy,Energy,2.8594962769162846e-12,D-Tier
base1-99,Grass Energy,Energy,2.8594962769162846e-12,D-Tier
base2-1,Clefable,Pokémon,0.2337770313024521,C-Tier
base2-10,Scyther,Pokémon,0.232659250497818,C-Tier
base2-11,Snorlax,Pokémon,0.29889631271362305,C-Tier
base2-12,Vaporeon,Pokémon,0.26561346650123596,C-Tier
base2-13,Venomoth,Pokémon,0.23328974843025208,C-Tier
base2-14,Victreebel,Pokémon,0.26600611209869385,C-Tier
base2-15,Vileplume,Pokémon,0.26600611209869385,C-Tier
base2-16,Wigglytuff,Pokémon,0.2652074992656708,C-Tier
base2-2,Electrode,Pokémon,0.29874658584594727,C-Tier
base2-3,Flareon,Pokémon,0.23416824638843536,C-Tier
base2-4,Jolteon,Pokémon,0.2334684580564499,C-Tier
base2-5,Kangaskhan,Pokémon,0.29889631271362305,C-Tier
base2-6,Mr. Mime,Pokémon,0.1305444985628128,D-Tier
base2-7,Nidoqueen,Pokémon,0.29890090227127075,C-Tier
base2-8,Pidgeot,Pokémon,0.26553481817245483,C-Tier
base2-9,Pinsir,Pokémon,0.20111992955207825,C-Tier
base3-1,Aerodactyl,Pokémon,0.20461982488632202,C-Tier
base3-10,Lapras,Pokémon,0.2654031813144684,C-Tier
base3-11,Magneton,Pokémon,0.2656222879886627,C-Tier
base3-12,Moltres,Pokémon,0.2333805412054062,C-Tier
base3-13,Muk,Pokémon,0.23328974843025208,C-Tier
base3-14,Raichu,Pokémon,0.29874658584594727,C-Tier
base3-15,Zapdos,Pokémon,0.2653140723705292,C-Tier
base3-2,Articuno,Pokémon,0.23499034345149994,C-Tier
base3-3,Ditto,Pokémon,0.1643156111240387,D-Tier
base3-4,Dragonite,Pokémon,0.2988998591899872,C-Tier
base3-5,Gengar,Pokémon,0.2660672962665558,C-Tier
base3-6,Haunter,Pokémon,0.17218174040317535,D-Tier
base3-7,Hitmonlee,Pokémon,0.20172367990016937,C-Tier
base3-8,Hypno,Pokémon,0.29882341623306274,C-Tier
base3-9,Kabutops,Pokémon,0.20583489537239075,C-Tier
base4-1,Alakazam,Pokémon,0.2660672962665558,C-Tier
base4-10,Mewtwo,Pokémon,0.1980745643377304,D-Tier
base4-100,Weedle,Pokémon,0.13022442162036896,D-Tier
base4-101,Computer Search,Trainer,0.00026014031027443707,D-Tier
base4-102,Imposter Professor Oak,Trainer,0.00026014031027443707,D-Tier
base4-103,Item Finder,Trainer,0.00026014031027443707,D-Tier
base4-104,Lass,Trainer,0.00026014031027443707,D-Tier
base4-105,Pokémon Breeder,Trainer,0.00026014031027443707,D-Tier
base4-106,Pokémon Trader,Trainer,0.00026014031027443707,D-Tier
base4-107,Scoop Up,Trainer,0.00026014031027443707,D-Tier
base4-108,Super Energy Removal,Trainer,0.00026014031027443707,D-Tier
base4-109,Defender,Trainer,0.00026014031027443707,D-Tier
base4-11,Nidoking,Pokémon,0.29890090227127075,C-Tier
base4-110,Energy Retrieval,Trainer,0.00026014031027443707,D-Tier
base4-111,Full Heal,Trainer,0.00026014031027443707,D-Tier
base4-112,Maintenance,Trainer,0.00026014031027443707,D-Tier
base4-113,PlusPower,Trainer,0.00026014031027443707,D-Tier
base4-114,Pokémon Center,Trainer,0.00026014031027443707,D-Tier
base4-115,Pokédex,Trainer,0.00026014031027443707,D-Tier
base4-116,Professor Oak,Trainer,0.00026014031027443707,D-Tier
base4-117,Super Potion,Trainer,0.00026014031027443707,D-Tier
base4-118,Bill,Trainer,0.00026014031027443707,D-Tier
base4-119,Energy Removal,Trainer,0.00026014031027443707,D-Tier
base4-12,Nidoqueen,Pokémon,0.29890090227127075,C-Tier
base4-120,Gust of Wind,Trainer,0.00026014031027443707,D-Tier
base4-121,Poké Ball,Trainer,0.00026014031027443707,D-Tier
base4-122,Potion,Trainer,0.00026014031027443707,D-Tier
base4-123,Switch,Trainer,0.00026014031027443707,D-Tier
base4-124,Double Colorless Energy,Energy,3.3326180966871018e-15,D-Tier
base4-125,Fighting Energy,Energy,2.8594962769162846e-12,D-Tier
base4-126,Fire Energy,Energy,2.8594962769162846e-12,D-Tier
base4-127,Grass Energy,Energy,2.8594962769162846e-12,D-Tier
base4-128,Lightning Energy,Energy,2.8594962769162846e-12,D-Tier
base4-129,Psychic Energy,Energy,2.8594962769162846e-12,D-Tier
base4-13,Ninetales,Pokémon,0.26494237780570984,C-Tier
base4-130,Water Energy,Energy,2.8594962769162846e-12,D-Tier
base4-14,Pidgeot,Pokémon,0.26553481817245483,C-Tier
base4-15,Poliwrath,Pokémon,0.29888370633125305,C-Tier
base4-16,Raichu,Pokémon,0.2656222879886627,C-Tier
base4-17,Scyther,Pokémon,0.232659250497818,C-Tier
base4-18,Venusaur,Pokémon,0.29890865087509155,C-Tier
base4-19,Wigglytuff,Pokémon,0.2652074992656708,C-Tier
base4-2,Blastoise,Pokémon,0.298908531665802,C-Tier
base4-20,Zapdos,Pokémon,0.2987745702266693,C-Tier
base4-21,Beedrill,Pokémon,0.26600611209869385,C-Tier
base4-22,Dragonair,Pokémon,0.2652074992656708,C-Tier
base4-23,Dugtrio,Pokémon,0.2346239984035492,C-Tier
base4-24,Electabuzz,Pokémon,0.2346249520778656,C-Tier
base4-25,Electrode,Pokémon,0.2656222879886627,C-Tier
base4-26,Kangaskhan,Pokémon,0.29889631271362305,C-Tier
base4-27,Mr. Mime,Pokémon,0.1305444985628128,D-Tier
base4-28,Pidgeotto,Pokémon,0.20361323654651642,C-Tier
base4-29,Pinsir,Pokémon,0.20111992955207825,C-Tier
base4-3,Chansey,Pokémon,0.2988230586051941,C-Tier
base4-30,Snorlax,Pokémon,0.29889631271362305,C-Tier
base4-31,Venomoth,Pokémon,0.23328974843025208,C-Tier
base4-32,Victreebel,Pokémon,0.26600611209869385,C-Tier
base4-33,Arcanine,Pokémon,0.29890573024749756,C-Tier
base4-34,Butterfree,Pokémon,0.2324638068675995,C-Tier
base4-35,Charmeleon,Pokémon,0.26494237780570984,C-Tier
base4-36,Dewgong,Pokémon,0.26561346650123596,C-Tier
base4-37,Dodrio,Pokémon,0.2337770313024521,C-Tier
base4-38,Dratini,Pokémon,0.1294628381729126,D-Tier
base4-39,Exeggutor,Pokémon,0.2656279504299164,C-Tier
base4-4,Charizard,Pokémon,0.2987966239452362,C-Tier
base4-40,Farfetch'd,Pokémon,0.1643156111240387,D-Tier
base4-41,Fearow,Pokémon,0.2337770313024521,C-Tier
base4-42,Growlithe,Pokémon,0.2002834528684616,C-Tier
base4-43,Haunter,Pokémon,0.19987624883651733,D-Tier
base4-44,Ivysaur,Pokémon,0.20278799533843994,C-Tier
base4-45,Jynx,Pokémon,0.23295491933822632,C-Tier
base4-46,Kadabra,Pokémon,0.19987624883651733,D-Tier
base4-47,Kakuna,Pokémon,0.2656279504299164,C-Tier
base4-48,Lickitung,Pokémon,0.29889631271362305,C-Tier
base4-49,Machoke,Pokémon,0.26525914669036865,C-Tier
base4-5,Clefable,Pokémon,0.2337770313024521,C-Tier
base4-50,Magikarp,Pokémon,0.09821265190839767,D-Tier
base4-51,Magmar,Pokémon,0.16511760652065277,D-Tier
base4-52,Marowak,Pokémon,0.20461982488632202,C-Tier
base4-53,Nidorina,Pokémon,0.23328974843025208,C-Tier
base4-54,Nidorino,Pokémon,0.20278799533843994,C-Tier
base4-55,Parasect,Pokémon,0.20278799533843994,C-Tier
base4-56,Persian,Pokémon,0.2337770313024521,C-Tier
base4-57,Poliwhirl,Pokémon,0.19960083067417145,D-Tier
base4-58,Raticate,Pokémon,0.20361323654651642,C-Tier
base4-59,Rhydon,Pokémon,0.29889780282974243,C-Tier
base4-6,Clefairy,Pokémon,0.1294628381729126,D-Tier
base4-60,Seaking,Pokémon,0.236039936542511,C-Tier
base4-61,Seel,Pokémon,0.1987265944480896,D-Tier
base4-62,Tauros,Pokémon,0.2028363049030304,C-Tier
base4-63,Wartortle,Pokémon,0.236039936542511,C-Tier
base4-64,Weepinbell,Pokémon,0.23328974843025208,C-Tier
base4-65,Abra,Pokémon,0.09845941513776779,D-Tier
base4-66,Bellsprout,Pokémon,0.13022442162036896,D-Tier
base4-67,Bulbasaur,Pokémon,0.13022442162036896,D-Tier
base4-68,Caterpie,Pokémon,0.13022442162036896,D-Tier
base4-69,Charmander,Pokémon,0.16511760652065277,D-Tier
base4-7,Gyarados,Pokémon,0.2989175617694855,C-Tier
base4-70,Cubone,Pokémon,0.12858794629573822,D-Tier
base4-71,Diglett,Pokémon,0.09803957492113113,D-Tier
base4-72,Doduo,Pokémon,0.1643156111240387,D-Tier
base4-73,Drowzee,Pokémon,0.16680438816547394,D-Tier
base4-74,Exeggcute,Pokémon,0.16603584587574005,D-Tier
base4-75,Gastly,Pokémon,0.09845941513776779,D-Tier
base4-76,Goldeen,Pokémon,0.12961402535438538,D-Tier
base4-77,Jigglypuff,Pokémon,0.2028363049030304,C-Tier
base4-78,Machop,Pokémon,0.1644739955663681,D-Tier
base4-79,Magnemite,Pokémon,0.13147833943367004,D-Tier
base4-8,Hitmonchan,Pokémon,0.23391856253147125,C-Tier
base4-80,Meowth,Pokémon,0.1643156111240387,D-Tier
base4-81,Metapod,Pokémon,0.23328974843025208,C-Tier
base4-82,Nidoran ♀,Pokémon,0.20111992955207825,C-Tier
base4-83,Nidoran ♂,Pokémon,0.13022442162036896,D-Tier
base4-84,Onix,Pokémon,0.29888781905174255,C-Tier
base4-85,Paras,Pokémon,0.13022442162036896,D-Tier
base4-86,Pidgey,Pokémon,0.1294628381729126,D-Tier
base4-87,Pikachu,Pokémon,0.13147833943367004,D-Tier
base4-88,Poliwag,Pokémon,0.12961402535438538,D-Tier
base4-89,Rattata,Pokémon,0.09946496039628983,D-Tier
base4-9,Magneton,Pokémon,0.20295287668704987,C-Tier
base4-90,Rhyhorn,Pokémon,0.23391856253147125,C-Tier
base4-91,Sandshrew,Pokémon,0.12858794629573822,D-Tier
base4-92,Spearow,Pokémon,0.1643156111240387,D-Tier
base4-93,Squirtle,Pokémon,0.12961402535438538,D-Tier
base4-94,Starmie,Pokémon,0.19960083067417145,D-Tier
base4-95,Staryu,Pokémon,0.12961402535438538,D-Tier
base4-96,Tangela,Pokémon,0.16603584587574005,D-Tier
base4-97,Venonat,Pokémon,0.13022442162036896,D-Tier
base4-98,Voltorb,Pokémon,0.13147833943367004,D-Tier
base4-99,Vulpix,Pokémon,0.16511760652065277,D-Tier
base5-1,Dark Alakazam,Pokémon,0.19856032729148865,D-Tier
base5-10,Dark Machamp,Pokémon,0.23634149134159088,C-Tier
base5-11,Dark Magneton,Pokémon,0.20295287668704987,C-Tier
base5-12,Dark Slowbro,Pokémon,0.19987624883651733,D-Tier
base5-13,Dark Vileplume,Pokémon,0.20074479281902313,C-Tier
base5-14,Dark Weezing,Pokémon,0.20278799533843994,C-Tier
base5-15,Here Comes Team Rocket!,Trainer,0.00026014031027443707,D-Tier
base5-16,Rocket's Sneak Attack,Trainer,0.00026014031027443707,D-Tier
base5-17,Rainbow Energy,Energy,3.3326180966871018e-15,D-Tier
base5-2,Dark Arbok,Pokémon,0.20278799533843994,C-Tier
base5-3,Dark Blastoise,Pokémon,0.231537863612175,C-Tier
base5-4,Dark Charizard,Pokémon,0.2647212743759155,C-Tier
base5-5,Dark Dragonite,Pokémon,0.23250681161880493,C-Tier
base5-6,Dark Dugtrio,Pokémon,0.17185018956661224,D-Tier
base5-7,Dark Golbat,Pokémon,0.17332173883914948,D-Tier
base5-8,Dark Gyarados,Pokémon,0.236039936542511,C-Tier
base5-83,Dark Raichu,Pokémon,0.2334684580564499,C-Tier
base5-9,Dark Hypno,Pokémon,0.19987624883651733,D-Tier
base6-1,Alakazam,Pokémon,0.2660672962665558,C-Tier
base6-10,Flareon,Pokémon,0.23416824638843536,C-Tier
base6-100,Full Heal Energy,Energy,3.3326180966871018e-15,D-Tier
base6-101,Potion Energy,Energy,3.3326180966871018e-15,D-Tier
base6-102,Pokémon Breeder,Trainer,0.00026014031027443707,D-Tier
base6-103,Pokémon Trader,Trainer,0.00026014031027443707,D-Tier
base6-104,Scoop Up,Trainer,0.00026014031027443707,D-Tier
base6-105,The Boss's Way,Trainer,0.00026014031027443707,D-Tier
base6-106,Challenge!,Trainer,0.00026014031027443707,D-Tier
base6-107,Energy Retrieval,Trainer,0.00026014031027443707,D-Tier
base6-108,Bill,Trainer,0.00026014031027443707,D-Tier
base6-109,Mysterious Fossil,Trainer,0.006359850987792015,D-Tier
base6-11,Gengar,Pokémon,0.2660672962665558,C-Tier
base6-110,Potion,Trainer,0.00026014031027443707,D-Tier
base6-12,Gyarados,Pokémon,0.2989175617694855,C-Tier
base6-13,Hitmonlee,Pokémon,0.20172367990016937,C-Tier
base6-14,Jolteon,Pokémon,0.2334684580564499,C-Tier
base6-15,Machamp,Pokémon,0.2989034056663513,C-Tier
base6-16,Muk,Pokémon,0.23328974843025208,C-Tier
base6-17,Ninetales,Pokémon,0.26494237780570984,C-Tier
base6-18,Venusaur,Pokémon,0.29890865087509155,C-Tier
base6-19,Zapdos,Pokémon,0.2987745702266693,C-Tier
base6-2,Articuno,Pokémon,0.23499034345149994,C-Tier
base6-20,Beedrill,Pokémon,0.26600611209869385,C-Tier
base6-21,Butterfree,Pokémon,0.2324638068675995,C-Tier
base6-22,Electrode,Pokémon,0.29874658584594727,C-Tier
base6-23,Exeggutor,Pokémon,0.2656279504299164,C-Tier
base6-24,Golem,Pokémon,0.26624614000320435,C-Tier
base6-25,Hypno,Pokémon,0.29882341623306274,C-Tier
base6-26,Jynx,Pokémon,0.23295491933822632,C-Tier
base6-27,Kabutops,Pokémon,0.20583489537239075,C-Tier
base6-28,Magneton,Pokémon,0.2656222879886627,C-Tier
base6-29,Mewtwo,Pokémon,0.1980745643377304,D-Tier
base6-3,Charizard,Pokémon,0.2987966239452362,C-Tier
base6-30,Moltres,Pokémon,0.2333805412054062,C-Tier
base6-31,Nidoking,Pokémon,0.29890090227127075,C-Tier
base6-32,Nidoqueen,Pokémon,0.29890090227127075,C-Tier
base6-33,Pidgeot,Pokémon,0.26553481817245483,C-Tier
base6-34,Pidgeotto,Pokémon,0.20361323654651642,C-Tier
base6-35,Rhydon,Pokémon,0.29889780282974243,C-Tier
base6-36,Arcanine,Pokémon,0.29890573024749756,C-Tier
base6-37,Charmeleon,Pokémon,0.26494237780570984,C-Tier
base6-38,Dark Dragonair,Pokémon,0.20361323654651642,C-Tier
base6-39,Dark Wartortle,Pokémon,0.19960083067417145,D-Tier
base6-4,Dark Blastoise,Pokémon,0.231537863612175,C-Tier
base6-40,Dewgong,Pokémon,0.26561346650123596,C-Tier
base6-41,Dodrio,Pokémon,0.2337770313024521,C-Tier
base6-42,Fearow,Pokémon,0.2337770313024521,C-Tier
base6-43,Golduck,Pokémon,0.236039936542511,C-Tier
base6-44,Graveler,Pokémon,0.20461982488632202,C-Tier
base6-45,Growlithe,Pokémon,0.2002834528684616,C-Tier
base6-46,Haunter,Pokémon,0.17218174040317535,D-Tier
base6-47,Ivysaur,Pokémon,0.20278799533843994,C-Tier
base6-48,Kabuto,Pokémon,0.10224280506372452,D-Tier
base6-49,Kadabra,Pokémon,0.19987624883651733,D-Tier
base6-5,Dark Dragonite,Pokémon,0.23250681161880493,C-Tier
base6-50,Kakuna,Pokémon,0.2656279504299164,C-Tier
base6-51,Machoke,Pokémon,0.26525914669036865,C-Tier
base6-52,Magikarp,Pokémon,0.09821265190839767,D-Tier
base6-53,Meowth,Pokémon,0.1643156111240387,D-Tier
base6-54,Metapod,Pokémon,0.23328974843025208,C-Tier
base6-55,Nidorina,Pokémon,0.23328974843025208,C-Tier
base6-56,Nidorino,Pokémon,0.20278799533843994,C-Tier
base6-57,Omanyte,Pokémon,0.1356290578842163,D-Tier
base6-58,Omastar,Pokémon,0.231537863612175,C-Tier
base6-59,Primeape,Pokémon,0.2346239984035492,C-Tier
base6-6,Dark Persian,Pokémon,0.20361323654651642,C-Tier
base6-60,Rapidash,Pokémon,0.23416824638843536,C-Tier
base6-61,Raticate,Pokémon,0.20361323654651642,C-Tier
base6-62,Sandslash,Pokémon,0.2346239984035492,C-Tier
base6-63,Seadra,Pokémon,0.19960083067417145,D-Tier
base6-64,Snorlax,Pokémon,0.29889631271362305,C-Tier
base6-65,Tauros,Pokémon,0.2028363049030304,C-Tier
base6-66,Tentacruel,Pokémon,0.19960083067417145,D-Tier
base6-67,Abra,Pokémon,0.09845941513776779,D-Tier
base6-68,Bulbasaur,Pokémon,0.13022442162036896,D-Tier
base6-69,Caterpie,Pokémon,0.13022442162036896,D-Tier
base6-7,Dark Raichu,Pokémon,0.2334684580564499,C-Tier
base6-70,Charmander,Pokémon,0.16511760652065277,D-Tier
base6-71,Doduo,Pokémon,0.1643156111240387,D-Tier
base6-72,Dratini,Pokémon,0.1294628381729126,D-Tier
base6-73,Drowzee,Pokémon,0.16680438816547394,D-Tier
base6-74,Eevee,Pokémon,0.1643156111240387,D-Tier
base6-75,Exeggcute,Pokémon,0.16603584587574005,D-Tier
base6-76,Gastly,Pokémon,0.16680438816547394,D-Tier
base6-77,Geodude,Pokémon,0.1644739955663681,D-Tier
base6-78,Grimer,Pokémon,0.16603584587574005,D-Tier
base6-79,Machop,Pokémon,0.1644739955663681,D-Tier
base6-8,Dark Slowbro,Pokémon,0.19987624883651733,D-Tier
base6-80,Magnemite,Pokémon,0.13147833943367004,D-Tier
base6-81,Mankey,Pokémon,0.12858794629573822,D-Tier
base6-82,Nidoran ♀,Pokémon,0.20111992955207825,C-Tier
base6-83,Nidoran ♂,Pokémon,0.13022442162036896,D-Tier
base6-84,Onix,Pokémon,0.29888781905174255,C-Tier
base6-85,Pidgey,Pokémon,0.1294628381729126,D-Tier
base6-86,Pikachu,Pokémon,0.166372612118721,D-Tier
base6-87,Ponyta,Pokémon,0.1323024034500122,D-Tier
base6-88,Psyduck,Pokémon,0.16480423510074615,D-Tier
base6-89,Rattata,Pokémon,0.09946496039628983,D-Tier
base6-9,Dark Vaporeon,Pokémon,0.19960083067417145,D-Tier
base6-90,Rhyhorn,Pokémon,0.23391856253147125,C-Tier
base6-91,Sandshrew,Pokémon,0.12858794629573822,D-Tier
base6-92,Seel,Pokémon,0.1987265944480896,D-Tier
base6-93,Slowpoke,Pokémon,0.16680438816547394,D-Tier
base6-94,Spearow,Pokémon,0.1643156111240387,D-Tier
base6-95,Squirtle,Pokémon,0.12961402535438538,D-Tier
base6-96,Tentacool,Pokémon,0.09821265190839767,D-Tier
base6-97,Voltorb,Pokémon,0.13147833943367004,D-Tier
base6-98,Vulpix,Pokémon,0.16511760652065277,D-Tier
base6-99,Weedle,Pokémon,0.13022442162036896,D-Tier
basep-10,Meowth,Pokémon,0.1643156111240387,D-Tier
basep-11,Eevee,Pokémon,0.09946496039628983,D-Tier
basep-12,Mewtwo,Pokémon,0.1980745643377304,D-Tier
basep-13,Venusaur,Pokémon,0.29890865087509155,C-Tier
basep-14,Mewtwo,Pokémon,0.23295491933822632,C-Tier
basep-15,Cool Porygon,Pokémon,0.1643156111240387,D-Tier
basep-16,Computer Error,Trainer,0.00026014031027443707,D-Tier
basep-17,Dark Persian,Pokémon,0.20361323654651642,C-Tier
basep-18,Team Rocket's Meowth,Pokémon,0.1294628381729126,D-Tier
basep-19,Sabrina's Abra,Pokémon,0.1305444985628128,D-Tier
basep-2,Electabuzz,Pokémon,0.2012452632188797,C-Tier
basep-20,Psyduck,Pokémon,0.16480423510074615,D-Tier
basep-21,Moltres,Pokémon,0.2333805412054062,C-Tier
basep-22,Articuno,Pokémon,0.23499034345149994,C-Tier
basep-23,Zapdos,Pokémon,0.2346249520778656,C-Tier
basep-24,_____'s Pikachu,Pokémon,0.166372612118721,D-Tier
basep-25,Flying Pikachu,Pokémon,0.13147833943367004,D-Tier
basep-26,Pikachu,Pokémon,0.13147833943367004,D-Tier
basep-27,Pikachu,Pokémon,0.09990566223859787,D-Tier
basep-28,Surfing Pikachu,Pokémon,0.166372612118721,D-Tier
basep-29,Marill,Pokémon,0.16480423510074615,D-Tier
basep-3,Mewtwo,Pokémon,0.23295491933822632,C-Tier
basep-30,Togepi,Pokémon,0.09946496039628983,D-Tier
basep-31,Cleffa,Pokémon,0.10122643411159515,D-Tier
basep-33,Scizor,Pokémon,0.23240771889686584,C-Tier
basep-34,Entei,Pokémon,0.26473239064216614,C-Tier
basep-35,Pichu,Pokémon,0.09864828735589981,D-Tier
basep-36,Igglybuff,Pokémon,0.10122643411159515,D-Tier
basep-37,Hitmontop,Pokémon,0.20172367990016937,C-Tier
basep-38,Unown [J],Pokémon,0.1305444985628128,D-Tier
basep-39,Misdreavus,Pokémon,0.16680438816547394,D-Tier
basep-4,Pikachu,Pokémon,0.166372612118721,D-Tier
basep-40,Pokémon Center,Trainer,0.00026014031027443707,D-Tier
basep-41,Lucky Stadium,Trainer,1.2920562767249066e-05,D-Tier
basep-42,Pokémon Tower,Trainer,1.2920562767249066e-05,D-Tier
basep-43,Machamp,Pokémon,0.29892539978027344,C-Tier
basep-44,Magmar,Pokémon,0.2002834528684616,C-Tier
basep-45,Scyther,Pokémon,0.20111992955207825,C-Tier
basep-46,Electabuzz,Pokémon,0.2012452632188797,C-Tier
basep-47,Mew,Pokémon,0.1305444985628128,D-Tier
basep-48,Articuno,Pokémon,0.2654031813144684,C-Tier
